,index,product_id,composition,fit,size,color,style_id,color_id,scrape_datetime
0,0,1024256007,"Cotton 99%, Spandex 1%",Slim fit,"The model is 176cm/5'9"" and wears a size 31/32",Dark gray,1024256,007,2022-10-31 19:42:43
1,1,1024256007,"Polyester 65%, Cotton 35%",Slim fit,"The model is 176cm/5'9"" and wears a size 31/32",Dark gray,1024256,007,2022-10-31 19:42:43
2,0,1024256001,"Cotton 99%, Spandex 1%",Slim fit,"The model is 185cm/6'1"" and wears a size 31/32",Black,1024256,001,2022-10-31 19:42:43
3,1,1024256001,"Polyester 65%, Cotton 35%",Slim fit,"The model is 185cm/6'1"" and wears a size 31/32",Black,1024256,001,2022-10-31 19:42:43
4,0,0985159001,"Cotton 99%, Spandex 1%",Skinny fit,"The model is 185cm/6'1"" and wears a size 31/32",Black,0985159,001,2022-10-31 19:42:43
5,1,0985159001,Cotton 100%,Skinny fit,"The model is 185cm/6'1"" and wears a size 31/32",Black,0985159,001,2022-10-31 19:42:43
6,0,1071707008,Cotton 100%,Relaxed fit,"The model is 182cm/6'0"" and wears a size 32/32",Denim blue,1071707,008,2022-10-31 19:42:43
7,1,1071707008,"Polyester 65%, Cotton 35%",Relaxed fit,"The model is 182cm/6'0"" and wears a size 32/32",Denim blue,1071707,008,2022-10-31 19:42:43
8,0,1024711006,"Cotton 98%, Spandex 2%",Slim fit,"The model is 183cm/6'0"" and wears a size 31/32",Dark denim blue,1024711,006,2022-10-31 19:42:43
9,1,1024711006,Cotton 100%,Slim fit,"The model is 183cm/6'0"" and wears a size 31/32",Dark denim blue,1024711,006,2022-10-31 19:42:43
10,0,1100162002,"Cotton 99%, Spandex 1%",Regular fit,"The model is 189cm/6'2"" and wears a size 31/32",Denim blue,1100162,002,2022-10-31 19:42:43
11,1,1100162002,"Polyester 65%, Cotton 35%",Regular fit,"The model is 189cm/6'2"" and wears a size 31/32",Denim blue,1100162,002,2022-10-31 19:42:43
12,0,1013317003,"Cotton 77%, Polyester 21%, Spandex 2%",Regular fit,"The model is 183cm/6'0"" and wears a size M",Dark denim blue,1013317,003,2022-10-31 19:42:43
13,0,1008110006,"Cotton 89%, Elastomultiester 9%, Spandex 2%",Slim fit,"The model is 183cm/6'0"" and wears a size 31/32",Denim blue,1008110,006,2022-10-31 19:42:43
14,1,1008110006,"Polyester 80%, Cotton 20%",Slim fit,"The model is 183cm/6'0"" and wears a size 31/32",Denim blue,1008110,006,2022-10-31 19:42:43
15,0,0993887008,"Cotton 78%, Polyester 21%, Spandex 1%",Regular fit,"The model is 183cm/6'0"" and wears a size 31/32",Dark gray,0993887,008,2022-10-31 19:42:43
16,0,1008549003,"Cotton 99%, Spandex 1%",Regular fit,"The model is 187cm/6'2"" and wears a size 31/32",Dark gray,1008549,003,2022-10-31 19:42:43
17,1,1008549003,"Polyester 65%, Cotton 35%",Regular fit,"The model is 187cm/6'2"" and wears a size 31/32",Dark gray,1008549,003,2022-10-31 19:42:43
18,0,1024256003,"Cotton 99%, Spandex 1%",Slim fit,"The model is 187cm/6'2"" and wears a size 31/32",Light denim blue,1024256,003,2022-10-31 19:42:43
19,1,1024256003,"Polyester 65%, Cotton 35%",Slim fit,"The model is 187cm/6'2"" and wears a size 31/32",Light denim blue,1024256,003,2022-10-31 19:42:43
20,0,0690449067,"Cotton 98%, Spandex 2%",Skinny fit,"The model is 183cm/6'0"" and wears a size 31/32",Denim blue,0690449,067,2022-10-31 19:42:43
21,1,0690449067,"Polyester 65%, Cotton 35%",Skinny fit,"The model is 183cm/6'0"" and wears a size 31/32",Denim blue,0690449,067,2022-10-31 19:42:43
22,0,1024256006,"Cotton 99%, Spandex 1%",Slim fit,"The model is 183cm/6'0"" and wears a size 31/32",Dark denim blue,1024256,006,2022-10-31 19:42:43
23,1,1024256006,Cotton 100%,Slim fit,"The model is 183cm/6'0"" and wears a size 31/32",Dark denim blue,1024256,006,2022-10-31 19:42:43
24,0,1008549001,"Cotton 98%, Spandex 2%",Regular fit,"The model is 185cm/6'1"" and wears a size 31/32",Light denim blue,1008549,001,2022-10-31 19:42:43
25,1,1008549001,"Polyester 65%, Cotton 35%",Regular fit,"The model is 185cm/6'1"" and wears a size 31/32",Light denim blue,1008549,001,2022-10-31 19:42:43
